species,initial_state,year_0,year_25,year_50,year_75,year_100
Acer campestre,Dry,0.6043745544048907,1.8820498875661955,4.941509921222325,9.345622221291856,13.587699336767798
Acer campestre,Intermediate,0.7783286492300476,2.364931162111369,5.386177816864446,8.803032473422736,11.605341266939842
Acer campestre,Moist,0.7975555712976401,2.48482307507849,6.169908019855536,11.121003061610894,15.40284956208077
Acer campestre,Mean,0.7267529249775262,2.2439347082520182,5.4991985859807695,9.75655258544183,13.531963388596136
Acer platanoides,Dry,0.5481810751056894,1.325475777611733,2.273047121032574,2.8702382559554627,3.071120485316581
Acer platanoides,Intermediate,0.32730587526160065,0.4845247066273546,0.44458670754690466,0.30885577632294703,0.16091666310897246
Acer platanoides,Moist,1.015948573578849,0.4299680557365646,0.14856138405184174,0.036697461720402995,0.0071126986671111204
Acer platanoides,Mean,0.6304785079820463,0.746656179991884,0.9553984042104401,1.0719304979996043,1.0797166156975548
Acer pseudoplatanus,Dry,4.982184131203268,4.162464434872016,3.309379738900442,2.415772263856927,1.504962529788165
Acer pseudoplatanus,Intermediate,3.0746137764785435,2.591332643090103,2.121168333289026,1.4510035855694086,0.8211946017256427
Acer pseudoplatanus,Moist,3.0646807654027435,2.4022794833901093,1.8822431643279018,1.2476200627233518,0.6405454869142523
Acer pseudoplatanus,Mean,3.7071595576948515,3.0520255204507425,2.4375970788391235,1.7047986373832291,0.9889008728093533
Carpinus betulus,Dry,0.7565192496439109,1.185195299095253,1.8598441443941198,2.745447255884379,3.7948601444032053
Carpinus betulus,Intermediate,2.524732414487364,4.142969292320487,6.002972152483412,8.039302458245281,10.08261980231219
Carpinus betulus,Moist,1.9970214839100728,2.8941107698628366,3.8806768719138414,4.875507379094675,5.844987918326819
Carpinus betulus,Mean,1.7594243826804492,2.7407584537595255,3.9144977229304576,5.220085697741445,6.574155955014071
Fraxinus Excelsior,Dry,11.645182676983287,4.6464808830795015,1.8295378084056928,0.6388170019680101,0.131232826055448
Fraxinus Excelsior,Intermediate,11.655720428936936,3.5732746627006167,1.0750072816099678,0.2416966756563856,NA
Fraxinus Excelsior,Moist,11.624255966758033,2.3323889006392804,0.4372588138409881,NA,NA
Fraxinus Excelsior,Mean,11.641719690892753,3.5173814821397995,1.113934634618883,0.2935045592081319,0.043744275351816006
Quercus robur,Dry,7.553026826150239,5.897399146900441,4.47782814949444,3.321654202420699,2.4163445453357686
Quercus robur,Intermediate,6.240927815081985,4.210062233849813,2.792115629044636,1.822369520323166,1.175799026957624
Quercus robur,Moist,3.289676610595085,1.9848308190895654,1.173523991568463,0.6821559106210888,0.39085970717300833
Quercus robur,Mean,5.694543750609103,4.030764066613274,2.8144892567025126,1.942059877788318,1.3276677598221336
Tilia spp.,Dry,2.2678668927146894,2.439494977437041,2.381623776688764,2.164766421254038,1.8801919739650654
Tilia spp.,Intermediate,1.8753409441871052,2.343409633231202,2.2741555750027183,2.0625633801626333,1.646038388368344
Tilia spp.,Moist,2.2285451305945743,2.531039045365512,2.604854421329097,2.301376581316076,1.8750516944916489
Tilia spp.,Mean,2.123917655832123,2.437981218677918,2.420211257673526,2.176235460910916,1.8004273522750194
Ulmus spp.,Dry,0.3677980169497799,0.6432970732422517,0.4933681400129627,0.24081097431890344,0.09821720151031464
Ulmus spp.,Intermediate,0.6631795199038014,0.595821082419194,0.3094745485557375,0.10673385174254195,0.026637509592932124
Ulmus spp.,Moist,0.6851136956961572,0.8994319068700135,0.4935432396812501,0.19824167906675244,0.05270437857044517
Ulmus spp.,Mean,0.5720304108499128,0.7128500208438198,0.4321286427499834,0.1819288350427326,0.05918636322456398
