species,initial_state,year_0,year_25,year_50,year_75,year_100
Acer campestre,Dry,0.6043745544048907,1.203083473377645,2.014784996632647,2.9785445903018104,3.860226078395997
Acer campestre,Intermediate,0.7783286492300476,1.9530985713608922,3.8866720551557536,5.611777630816393,6.936834627187236
Acer campestre,Moist,0.7975555712976401,2.290319612736062,5.2582896200755,8.688730371140542,11.736972982625236
Acer campestre,Mean,0.7267529249775262,1.815500552491533,3.7199155572879667,5.759684197419582,7.511344562736157
Acer platanoides,Dry,0.5481810751056894,1.9040384410983588,4.529313858178132,8.70556714755046,14.117769157667826
Acer platanoides,Intermediate,0.32730587526160065,1.0906582425213271,2.047069632200758,3.0054689956359644,3.883733202073794
Acer platanoides,Moist,1.015948573578849,1.7347209696611738,2.4573186533562983,2.8020819241994586,2.8242108629585547
Acer platanoides,Mean,0.6304785079820463,1.57647255109362,3.0112340479117297,4.837706022461961,6.9419044075667244
Acer pseudoplatanus,Dry,4.982184131203268,3.3856219915259596,2.424058744363392,1.7112145161041172,1.0470054208772712
Acer pseudoplatanus,Intermediate,3.0746137764785435,2.3532062189992766,1.6507556055550034,1.0217950241698783,0.46515083906501775
Acer pseudoplatanus,Moist,3.0646807654027435,2.83141345591582,2.373648093565794,1.6787503181806993,0.9884680021476921
Acer pseudoplatanus,Mean,3.7071595576948515,2.856747222147019,2.1494874811613967,1.4705866194848982,0.8335414206966604
Carpinus betulus,Dry,0.7565192496439109,1.1133881859563866,1.534632288471444,2.0116302548793796,2.522472995200011
Carpinus betulus,Intermediate,2.524732414487364,4.236566950521906,6.3752370975837325,8.879941888572311,11.455754501849036
Carpinus betulus,Moist,1.9970214839100728,3.1773293439197077,4.690524834841148,6.441701431298044,8.27333783210244
Carpinus betulus,Mean,1.7594243826804492,2.842428160132667,4.200131406965442,5.777757858249911,7.417188443050495
Fraxinus Excelsior,Dry,11.645182676983287,6.668371004489266,3.7620316706467847,2.1080902612379817,1.0234027371687253
Fraxinus Excelsior,Intermediate,11.655720428936936,5.912435657941112,2.9197183959603192,1.393904825066265,0.49788186538346774
Fraxinus Excelsior,Moist,11.624255966758033,4.668356450288441,1.8391860338842068,0.6630544227319474,0.13158327442495374
Fraxinus Excelsior,Mean,11.641719690892753,5.7497210375729395,2.8403120334971037,1.388349836345398,0.5509559589923823
Quercus robur,Dry,7.553026826150239,6.0296816351261064,4.625496878214501,3.436537884813203,2.4877804831449075
Quercus robur,Intermediate,6.240927815081985,4.889229430504422,3.7346225324014144,2.790233006828692,2.050186390535218
Quercus robur,Moist,3.289676610595085,2.5885819764086273,1.9736458296146138,1.4671630774301794,1.0683102853329378
Quercus robur,Mean,5.694543750609103,4.502497680679719,3.4445884134101763,2.564644656357358,1.8687590530043545
Tilia spp.,Dry,2.2678668927146894,2.4018049518466418,2.5244135516441166,2.552786407575312,2.1644424878979187
Tilia spp.,Intermediate,1.8753409441871052,2.2242522853590065,2.138766011591857,1.8261595999944775,1.3513415693804158
Tilia spp.,Moist,2.2285451305945743,2.338371739090785,2.263543036523237,1.9780686398159937,1.512948232185302
Tilia spp.,Mean,2.123917655832123,2.3214763254321444,2.30890753325307,2.119004882461928,1.6762440964878789
Ulmus spp.,Dry,0.3677980169497799,0.8828566037414859,1.0996682739380355,0.9404669826176693,0.5595650273678042
Ulmus spp.,Intermediate,0.6631795199038014,0.5848931366804642,0.34417843188152786,0.14454436888869243,0.04414890070956642
Ulmus spp.,Moist,0.6851136956961572,0.8007936091799528,0.4281700156581665,0.1957011247570466,0.05758979031211991
Ulmus spp.,Mean,0.5720304108499128,0.7561811165339676,0.6240055738259099,0.4269041587544694,0.22043457279649686
