year,weight_scenario,aggregation,no_increase,gw_0.5m,gw_1m
0,W10_linear,CES_sigma_0.4,48.56500642568717,48.56500642568717,48.56500642568717
25,W10_linear,CES_sigma_0.4,57.899199121971854,55.70775181267379,54.82934506909707
50,W10_linear,CES_sigma_0.4,46.90977482525053,39.56210849359724,33.15008218986941
75,W10_linear,CES_sigma_0.4,31.971041367343467,19.049929555624505,14.666272773905458
100,W10_linear,CES_sigma_0.4,16.57651141160443,7.400523439147228,4.825172699969711
0,W1_linear,CES_sigma_0.4,28.684670226749404,28.684670226749404,28.684670226749404
25,W1_linear,CES_sigma_0.4,34.159997971092864,32.88942101512143,32.382588346534455
50,W1_linear,CES_sigma_0.4,27.670596264550134,23.377307387094863,19.62129734641087
75,W1_linear,CES_sigma_0.4,18.864729490733207,11.269589379221069,8.689649413764096
100,W1_linear,CES_sigma_0.4,9.79077446016994,4.377232451464169,2.861373587483303
0,W2_linear,CES_sigma_0.4,12.11661116061652,12.11661116061652,12.11661116061652
25,W2_linear,CES_sigma_0.4,14.389874713313075,13.8848936626066,13.690122939938613
50,W2_linear,CES_sigma_0.4,11.650707495623323,9.895687981993158,8.35117523706572
75,W2_linear,CES_sigma_0.4,7.949186389686506,4.784623648493051,3.707803210237211
100,W2_linear,CES_sigma_0.4,4.1357506301092215,1.856348256550568,1.2237241014724007
0,W3_linear,CES_sigma_0.4,20.093875589219135,20.093875589219135,20.093875589219135
25,W3_linear,CES_sigma_0.4,23.920100068758227,23.04268185656758,22.69753126751501
50,W3_linear,CES_sigma_0.4,19.374294320785808,16.389934232314637,13.779484703359692
75,W3_linear,CES_sigma_0.4,13.21196788314757,7.90640635744879,6.105906366501782
100,W3_linear,CES_sigma_0.4,6.862107933163946,3.0691166541833197,2.011878898288609
0,W4_linear,CES_sigma_0.4,13.715570706552034,13.715570706552034,13.715570706552034
25,W4_linear,CES_sigma_0.4,16.36434245906058,15.762426499056668,15.536272413825472
50,W4_linear,CES_sigma_0.4,13.256478309812783,11.212593579890623,9.446661446769072
75,W4_linear,CES_sigma_0.4,9.042192967687036,5.404592750656734,4.182965656665392
100,W4_linear,CES_sigma_0.4,4.699543089069825,2.092998238795868,1.3788044200292084
0,W5_linear,CES_sigma_0.4,12.954132937809142,12.954132937809142,12.954132937809142
25,W5_linear,CES_sigma_0.4,15.479546137039623,14.90589948305056,14.694913812454065
50,W5_linear,CES_sigma_0.4,12.542897856371894,10.600814608151058,8.933466991366377
75,W5_linear,CES_sigma_0.4,8.555262796006382,5.105191711044771,3.9524663409942047
100,W5_linear,CES_sigma_0.4,4.445413648875589,1.9750942210199824,1.302428422928089
0,W6_linear,CES_sigma_0.4,12.250808601314402,12.250808601314402,12.250808601314402
25,W6_linear,CES_sigma_0.4,14.5369681502378,14.027893027425163,13.82858176173083
50,W6_linear,CES_sigma_0.4,11.766362553689195,9.997685987327056,8.437067638309284
75,W6_linear,CES_sigma_0.4,8.028505837606257,4.8367353126369235,3.7481771402689295
100,W6_linear,CES_sigma_0.4,4.17884062277147,1.8774338527588375,1.2375649527313184
0,W7_linear,CES_sigma_0.4,24.389945892229292,24.389945892229292,24.389945892229292
25,W7_linear,CES_sigma_0.4,29.04146502233346,27.967302625056217,27.541365120461293
50,W7_linear,CES_sigma_0.4,23.52373616482753,19.88448776936537,16.70113422640928
75,W7_linear,CES_sigma_0.4,16.039257563941643,9.588311160958156,7.398026554654763
100,W7_linear,CES_sigma_0.4,8.326892663791698,3.723253163597525,2.4366946544666366
0,W8_linear,CES_sigma_0.4,10.125885059355749,10.125885059355749,10.125885059355749
25,W8_linear,CES_sigma_0.4,11.997180752854069,11.590487646147773,11.433891248218345
50,W8_linear,CES_sigma_0.4,9.710557678644708,8.272153727823747,6.995605546310294
75,W8_linear,CES_sigma_0.4,6.627265821683871,4.007103584877825,3.110905003506386
100,W8_linear,CES_sigma_0.4,3.4511841594237676,1.5552367458142309,1.0277694544129812
0,W9_linear,CES_sigma_0.4,8.64705346354588,8.64705346354588,8.64705346354588
25,W9_linear,CES_sigma_0.4,10.338459572673063,9.962778412608111,9.83133636825063
50,W9_linear,CES_sigma_0.4,8.376211162389811,7.092689876697345,5.998397123227676
75,W9_linear,CES_sigma_0.4,5.715702862108473,3.417528720876845,2.6549894738251534
100,W9_linear,CES_sigma_0.4,2.974047240137226,1.319409140007617,0.8758710054596861
