"","Acer","Fraxinus","Quercus","Quercus rubra","Tilia","Ulmus"
"total beetle species",65.9491094389854,85.9041798655186,94.5915224113989,69.7207721058903,84.5029135888055,81.1378323956174
"unique non-red list beetle species",NA,3.9069749813026,2.8373488341838,NA,6.69620842759649,NA
"Non-unique red list beetle species",9.61768660326352,12.6717102719363,13.067527284393,10.4307657499882,12.5361004562534,11.2142811624959
"unique red list beetle species",2.72,4.68,6.4,2.88,4,4.84
"Common beetles",NA,64.6454946122797,72.286646292822,NA,61.2706047049556,NA
