"","Acer","Fraxinus","Quercus","Quercus rubra","Tilia","Ulmus"
"total beetle species",66.0852399532018,76.2211884758625,90.4241869834699,60.3126218477891,73.4032722284094,78.1930410111857
"unique non-red list beetle species",NA,4.25195188421157,2.06574922285753,NA,1.43831887319596,NA
"Non-unique red list beetle species",7.54923454974006,12.3936363992689,16.1436996675432,11.3950791077289,12.787789771377,11.4817005017009
"unique red list beetle species",1,1.64,4.8,1.8,1.6,2.96
"Common beetles",NA,57.9356001923819,67.4147380930692,NA,57.5771635838364,NA
